Timestamp,Sample_Time,CH1,CH3
784699481,0,565,540
784711388,11907,564,554
784723202,23721,561,550
784735054,35573,563,549
784746961,47480,567,549
784758776,59295,577,535
784770554,71073,575,552
784782479,82998,572,547
784794294,94813,572,557
784806146,106665,567,547
784817979,118498,570,546
784829719,130238,564,542
784841534,142053,566,540
784853385,153904,571,539
784865219,165738,565,539
784877015,177534,570,548
784888903,189422,571,551
784900700,201219,570,553
784912514,213033,571,558
784924329,224848,566,554
784936180,236699,570,566
784947958,248477,565,546
784959791,260310,575,556
784971717,272236,576,550
784983513,284032,572,550
784995365,295884,570,550
785007290,307809,567,548
785019049,319568,561,541
785030975,331494,576,540
785042753,343272,556,545
785054641,355160,567,535
785066400,366919,568,547
785078252,378771,566,550
785090141,390660,558,539
785101918,402437,563,551
785113733,414252,573,555
785125548,426067,571,551
785137381,437900,569,548
785149195,449714,571,538
785161010,461529,569,552
785172788,473307,571,547
785184750,485269,574,554
785196546,497065,577,539
785208454,508973,562,544
785220194,520713,560,536
785232083,532602,575,543
785243879,544398,570,539
785255675,556194,567,553
785267471,567990,574,547
785279267,579786,572,536
785291137,591656,569,545
785302897,603416,563,555
785314748,615267,567,544
785326600,627119,583,545
785338340,638859,564,553
785350248,650767,572,547
785362099,662618,574,552
785374006,674525,575,542
785385784,686303,570,545
785397562,698081,565,541
785409376,709895,562,531
785421246,721765,566,547
785433154,733673,563,543
785444894,745413,568,550
785456838,757357,566,542
785468672,769191,557,547
785480412,780931,557,551
785492264,792783,576,546
785504078,804597,570,556
785515893,816412,556,537
785527893,828412,571,548
785539744,840263,571,530
785551652,852171,563,546
785563707,864226,572,553
785575596,876115,580,544
785587503,888022,568,547
785599447,899966,563,543
785611354,911873,578,555
785623187,923706,576,544
785635132,935651,573,549
785646965,947484,571,546
785658854,959373,564,556
785670687,971206,574,552
785682594,983113,562,554
785694520,995039,573,548
785706445,1006964,571,553
785718371,1018890,563,553
785730186,1030705,572,551
785742019,1042538,569,549
785753926,1054445,564,554
785765759,1066278,566,542
785777703,1078222,575,545
785789629,1090148,577,543
785801555,1102074,574,537
785813425,1113944,571,547
785825369,1125888,569,551
785837202,1137721,570,557
785849165,1149684,564,545
785861054,1161573,566,536
785872980,1173499,569,544
785884776,1185295,562,551
785896664,1197183,563,536
785908609,1209128,567,552
785920553,1221072,572,554
785932405,1232924,572,554
785944312,1244831,571,544
785956126,1256645,569,546
785975682,1276201,574,557
785987626,1288145,568,544
785999459,1299978,584,553
786011218,1311737,564,547
786023051,1323570,564,547
786034810,1335329,568,544
786046625,1347144,560,544
786058365,1358884,565,539
786070180,1370699,572,535
786081902,1382421,568,547
786093717,1394236,572,542
786105457,1405976,575,550
786117198,1417717,572,549
786129012,1429531,573,545
786140753,1441272,573,545
786152531,1453050,573,559
786164308,1464827,573,550
786176104,1476623,575,558
786187826,1488345,565,543
786199641,1500160,565,545
786211437,1511956,566,547
786223140,1523659,566,542
786234992,1535511,558,549
786246733,1547252,560,546
786258547,1559066,565,533
786270288,1570807,568,547
786282065,1582584,571,545
786293824,1594343,573,543
786305584,1606103,567,542
786317398,1617917,569,543
786329139,1629658,576,538
786340972,1641491,570,540
786352731,1653250,574,550
786364564,1665083,566,543
786376286,1676805,571,545
786388119,1688638,558,551
786399878,1700397,570,544
786411711,1712230,571,553
786423433,1723952,564,557
786435248,1735767,562,543
786447026,1747545,578,542
786458803,1759322,563,548
786470599,1771118,569,550
786482340,1782859,572,548
786494192,1794711,578,541
786505932,1806451,567,545
786517765,1818284,565,549
786529561,1830080,572,545
786541302,1841821,574,553
786553098,1853617,568,557
786564894,1865413,568,545
786576690,1877209,572,548
786588412,1888931,565,554
786600227,1900746,567,545
786611986,1912505,566,541
786623726,1924245,565,545
786635541,1936060,569,547
786647319,1947838,573,546
786659078,1959597,564,538
786670892,1971411,556,545
786682707,1983226,561,540
786694447,1994966,569,535
786706262,2006781,565,544
786718058,2018577,570,542
786729891,2030410,573,548
786741650,2042169,567,547
786753465,2053984,568,550
786765261,2065780,573,554
786777057,2077576,577,545
786788909,2089428,566,553
786800723,2101242,572,552
786812483,2113002,571,535
786824390,2124909,567,537
786836130,2136649,571,542
786848019,2148538,562,537
786859759,2160278,566,539
786871611,2172130,566,551
786883389,2183908,570,550
786895148,2195667,570,540
786906944,2207463,574,551
786918740,2219259,573,555
786930518,2231037,565,556
786942369,2242888,573,549
786954276,2254795,565,558
786966147,2266666,580,549
786977998,2278517,571,549
786989813,2290332,574,546
787001646,2302165,567,551
787013424,2313943,562,535
787025201,2325720,559,559
787036923,2337442,563,553
787048682,2349201,561,543
787060441,2360960,560,544
787072163,2372682,557,541
787083922,2384441,569,541
787095700,2396219,569,540
787107552,2408071,555,542
787119274,2419793,572,551
787131014,2431533,572,551
787142829,2443348,574,545
787154569,2455088,566,553
787166458,2466977,569,538
787178199,2478718,578,540
787190032,2490551,569,551
787201809,2502328,579,545
787213531,2514050,570,546
787225309,2525828,561,551
787237105,2537624,570,540
787248920,2549439,558,552
787260771,2561290,568,555
787272567,2573086,563,558
787284326,2584845,573,550
787296160,2596679,567,544
787307956,2608475,574,541
787319733,2620252,562,539
787331492,2632011,569,540
787343307,2643826,573,552
787355103,2655622,574,546
787366899,2667418,568,541
787378714,2679233,572,539
787390510,2691029,575,554
787402343,2702862,568,553
787414121,2714640,568,538
787425935,2726454,570,546
787437676,2738195,559,548
787449490,2750009,557,556
787461361,2761880,570,554
787473286,2773805,567,555
787485138,2785657,565,549
787496971,2797490,570,544
787508786,2809305,573,542
787520619,2821138,580,554
787532563,2833082,573,553
787544415,2844934,570,551
787556266,2856785,568,550
787568063,2868582,575,550
787579951,2880470,571,547
787591858,2892377,564,549
787603710,2904229,565,549
787615525,2916044,562,553
787627284,2927803,571,533
787639080,2939599,564,541
787650820,2951339,569,549
787662598,2963117,569,555
787674357,2974876,575,544
787686190,2986709,569,555
787697894,2998413,572,555
787709690,3010209,574,549
787721486,3022005,578,558
787733301,3033820,562,545
787745060,3045579,582,545
787756837,3057356,563,546
787768615,3069134,566,541
787780429,3080948,574,552
787792170,3092689,558,553
787803910,3104429,563,545
787815725,3116244,566,543
787827429,3127948,568,541
787839262,3139781,563,548
787850965,3151484,566,540
787862743,3163262,567,546
787874483,3175002,560,549
787886261,3186780,569,551
787898020,3198539,558,543
787909853,3210372,565,551
787921649,3222168,568,550
787933371,3233890,577,546
787945204,3245723,566,537
787956945,3257464,565,538
787968797,3269316,578,545
787980611,3281130,570,550
787992389,3292908,571,541
788004166,3304685,563,547
788015907,3316426,566,554
788027703,3328222,573,543
788039499,3340018,569,544
788051240,3351759,572,554
788063017,3363536,568,553
788074776,3375295,567,549
788086517,3387036,567,554
788098331,3398850,566,546
788110109,3410628,571,540
788121905,3422424,570,551
788133627,3434146,573,542
788145460,3445979,566,554
788157256,3457775,576,553
788169053,3469572,565,554
788180830,3481349,565,548
788192626,3493145,566,552
788204441,3504960,568,565
788216163,3516682,558,543
788228014,3528533,563,547
788239848,3540367,566,525
788251570,3552089,566,536
788263421,3563940,566,529
788275162,3575681,569,542
788287014,3587533,559,549
788298791,3599310,564,546
788310606,3611125,560,548
788322420,3622939,572,541
788334161,3634680,576,548
788345994,3646513,567,548
788357698,3658217,561,551
788369512,3670031,578,547
788381253,3681772,569,555
788393012,3693531,567,545
788404789,3705308,565,553
788416511,3717030,574,543
788428326,3728845,571,537
788440122,3740641,569,544
788451918,3752437,565,549
788463677,3764196,570,546
788475436,3775955,569,547
788487177,3787696,565,544
788499121,3799640,570,538
788510936,3811455,556,542
788522787,3823306,568,560
788534732,3835251,569,557
788546509,3847028,575,573
788558287,3858806,570,549
788570083,3870602,575,550
788581823,3882342,569,556
788593694,3894213,567,536
788605434,3905953,569,534
788617267,3917786,557,550
788629045,3929564,573,544
788640822,3941341,563,545
788652581,3953100,567,541
788664396,3964915,570,546
788676155,3976674,565,539
788687933,3988452,559,533
788699692,4000211,560,544
788711506,4012025,570,548
788723266,4023785,572,548
788735080,4035599,564,543
788746858,4047377,553,546
788758635,4059154,570,550
788770413,4070932,567,561
788782153,4082672,567,553
788793987,4094506,562,545
788805709,4106228,570,540
788817486,4118005,576,545
788829282,4129801,571,538
788841041,4141560,563,544
788852911,4153430,559,555
788864652,4165171,571,541
788876541,4177060,569,542
788888318,4188837,565,547
788900114,4200633,572,546
788911836,4212355,566,541
788923596,4224115,574,549
788935355,4235874,573,550
788947132,4247651,575,568
788958891,4259410,562,554
788970706,4271225,572,549
788982446,4282965,576,544
788994280,4294799,573,531
789006094,4306613,568,537
789017835,4318354,570,538
789029649,4330168,564,557
789041390,4341909,554,547
789053149,4353668,571,551
789064908,4365427,566,537
789076741,4377260,569,536
789088519,4389038,574,536
789100333,4400852,570,538
789112055,4412574,575,548
789123870,4424389,560,552
789135610,4436129,566,554
789147444,4447963,569,549
789159184,4459703,570,552
789170943,4471462,565,545
789182721,4483240,570,547
789194480,4494999,566,540
789206332,4506851,574,549
789218035,4518554,572,537
789229813,4530332,572,533
789241590,4542109,567,549
789253386,4553905,572,546
789265256,4565775,569,542
789277053,4577572,563,538
789288849,4589368,569,547
789300626,4601145,563,550
789312459,4612978,571,550
789324256,4624775,564,541
789336033,4636552,574,553
789347866,4648385,571,548
789359681,4660200,571,554
789371403,4671922,566,544
789383217,4683736,564,553
789394958,4695477,565,541
789406754,4707273,564,544
789418513,4719032,571,548
789430328,4730847,566,535
789442050,4742569,570,541
789453809,4754328,566,537
789465605,4766124,557,543
789477420,4777939,564,548
789489216,4789735,567,542
789500975,4801494,559,541
789512734,4813253,560,544
789524493,4825012,561,542
789536289,4836808,565,543
789548085,4848604,578,543
789559807,4860326,577,551
789571603,4872122,574,556
789583436,4883955,573,556
789595177,4895696,573,552
789607010,4907529,573,550
789618825,4919344,573,556
789630658,4931177,569,542
789642398,4942917,574,550
789654194,4954713,567,541
789665935,4966454,565,547
789677676,4978195,564,545
789689398,4989917,575,554
789701175,5001694,572,552
789712971,5013490,571,549
789724749,5025268,573,548
789736471,5036990,569,556
789748267,5048786,575,552
789760008,5060527,573,549
789771859,5072378,574,552
789783637,5084156,567,553
789795396,5095915,562,546
789807247,5107766,572,548
789818988,5119507,562,541
789830766,5131285,565,540
789842543,5143062,566,543
789854339,5154858,565,539
789866117,5166636,574,548
789877950,5178469,566,547
789889691,5190210,570,547
789901505,5202024,562,535
789913283,5213802,560,547
789925079,5225598,575,541
789936875,5237394,563,542
789948671,5249190,572,546
789966189,5266708,570,551
789978522,5279041,568,544
789990485,5291004,565,555
790002281,5302800,564,542
790014133,5314652,563,546
790025948,5326467,565,533
790037670,5338189,565,542
790049503,5350022,575,542
790061243,5361762,571,549
790073039,5373558,559,555
790084872,5385391,570,558
790096669,5397188,570,557
790108502,5409021,564,554
790120464,5420983,572,544
790132205,5432724,576,546
790144020,5444539,577,546
790155779,5456298,570,542
790167519,5468038,568,544
790179297,5479816,569,535
790191074,5491593,574,548
790202833,5503352,569,547
790214593,5515112,564,544
790226426,5526945,562,540
790238222,5538741,568,539
790249999,5550518,570,541
790261777,5562296,570,537
790273517,5574036,572,527
790285314,5585833,567,543
790297073,5597592,551,551
790308906,5609425,562,544
790320665,5621184,567,552
790332498,5633017,572,544
790344276,5644795,569,541
790356035,5656554,574,544
790367849,5668368,570,557
790379590,5680109,562,545
790391386,5691905,575,547
790403145,5703664,566,544
790414885,5715404,572,551
790426700,5727219,558,547
790438515,5739034,576,539
790450237,5750756,569,537
790462070,5762589,563,544
790473829,5774348,568,541
790485607,5786126,568,559
790497421,5797940,568,547
790509162,5809681,561,560
790520902,5821421,568,555
790532717,5833236,567,558
790544513,5845032,568,545
790556309,5856828,580,541
790568068,5868587,565,545
790579846,5880365,562,540
790591605,5892124,564,540
790603419,5903938,564,537
790615178,5915697,567,540
790626919,5927438,574,535
790638715,5939234,569,545
790650456,5950975,567,542
790662289,5962808,566,554
790674140,5974659,564,541
790685881,5986400,566,546
790697659,5998178,562,540
790709399,6009918,564,539
790721177,6021696,565,539
790732917,6033436,565,541
790744695,6045214,570,538
790756417,6056936,569,547
790768194,6068713,568,547
790779953,6080472,574,556
790791713,6092232,569,553
790803601,6104120,563,549
790815471,6115990,573,543
790827230,6127749,580,548
790839008,6139527,565,542
790850749,6151268,567,546
790862508,6163027,572,545
790874267,6174786,570,538
790886044,6186563,571,558
790897822,6198341,565,551
790909581,6210100,571,547
