Timestamp,Sample_Time,CH1,CH3
726410771,0,554,535
726422660,11889,568,554
726434548,23777,574,537
726446511,35740,577,546
726458437,47666,566,538
726470381,59610,568,534
726482288,71517,567,553
726494140,83369,577,550
726506029,95258,576,553
726518010,107239,573,549
726529917,119146,571,547
726541806,131035,564,555
726553732,142961,562,542
726565602,154831,568,551
726577528,166757,556,542
726589416,178645,563,539
726601249,190478,565,536
726613194,202423,568,543
726625008,214237,565,540
726636915,226144,563,545
726648804,238033,571,541
726660767,249996,571,538
726672674,261903,572,555
726684563,273792,567,549
726696489,285718,568,557
726708433,297662,568,542
726720322,309551,565,548
726732136,321365,565,547
726744099,333328,566,539
726756006,345235,572,539
726767932,357161,571,530
726779913,369142,561,539
726791783,381012,570,536
726803728,392957,562,537
726815672,404901,570,545
726827560,416789,576,541
726839468,428697,576,543
726851282,440511,572,548
726863227,452456,572,539
726875152,464381,573,559
726887060,476289,580,552
726898967,488196,563,550
726910855,500084,569,543
726922744,511973,566,544
726934651,523880,567,548
726946503,535732,562,544
726958373,547602,568,530
726970299,559528,568,537
726982225,571454,563,546
726994113,583342,565,542
727005984,595213,566,539
727017872,607101,563,543
727029761,618990,568,547
727041668,630897,565,547
727053557,642786,565,563
727065464,654693,574,554
727077279,666508,577,548
727089186,678415,571,532
727101000,690229,565,543
727112926,702155,565,546
727124722,713951,572,540
727136592,725821,563,539
727148481,737710,565,542
727160388,749617,568,529
727172296,761525,561,545
727184203,773432,566,547
727196073,785302,569,554
727207980,797209,573,550
727219813,809042,585,557
727231721,820950,577,555
727243628,832857,563,546
727255516,844745,574,549
727267368,856597,564,550
727279294,868523,563,548
727291108,880337,573,557
727303090,892319,569,544
727314960,904189,573,545
727326867,916096,566,552
727338848,928077,567,547
727350756,939985,567,545
727362663,951892,570,553
727374607,963836,570,551
727386403,975632,554,538
727398366,987595,562,548
727410199,999428,562,542
727422069,1011298,559,539
727433976,1023205,568,542
727445884,1035113,561,547
727457791,1047020,568,549
727469680,1058909,569,553
727481679,1070908,571,538
727493457,1082686,570,549
727505401,1094630,568,553
727517308,1106537,570,543
727529197,1118426,571,560
727541086,1130315,565,551
727553030,1142259,570,542
727564900,1154129,565,539
727576882,1166111,573,543
727588752,1177981,569,542
727600659,1189888,570,539
727612548,1201777,571,543
727624399,1213628,577,542
727636325,1225554,577,554
727648269,1237498,566,560
727660158,1249387,567,551
727672047,1261276,580,557
727683954,1273183,576,545
727695880,1285109,568,547
727707676,1296905,573,541
727719638,1308867,573,541
727731527,1320756,572,541
727743434,1332663,569,543
727755342,1344571,563,536
727767323,1356552,566,548
727779212,1368441,562,542
727791137,1380366,569,542
727803045,1392274,570,541
727814970,1404199,564,542
727826877,1416106,563,545
727838803,1428032,565,536
727850655,1439884,568,542
727862581,1451810,567,548
727874469,1463698,573,547
727886451,1475680,572,552
727898339,1487568,574,548
727910154,1499383,571,548
727922135,1511364,575,538
727934061,1523290,575,544
727945931,1535160,567,551
727957820,1547049,577,548
727969746,1558975,576,545
727981542,1570771,568,553
727993430,1582659,570,550
728005300,1594529,576,544
728017226,1606455,568,557
728029041,1618270,569,558
728040967,1630196,574,558
728052874,1642103,576,550
728064707,1653936,572,562
728076577,1665806,580,561
728088503,1677732,568,543
728100410,1689639,565,547
728112243,1701472,568,551
728124187,1713416,576,549
728136113,1725342,573,546
728147909,1737138,555,553
728159705,1748934,569,557
728171613,1760842,568,539
728183594,1772823,565,530
728195520,1784749,560,539
728207334,1796563,562,540
728219130,1808359,565,548
728231093,1820322,566,546
728242926,1832155,566,550
