Timestamp,Sample_Time,CH1,CH3
593825927,0,567,544
593837835,11908,572,547
593849742,23815,570,554
593861668,35741,572,560
593873612,47685,571,554
593885575,59648,565,553
593897519,71592,566,558
593909408,83481,560,544
593921370,95443,572,537
593933222,107295,572,535
593945166,119239,577,539
593957110,131183,568,537
593975351,149424,568,563
593987314,161387,572,552
593999202,173275,565,556
594011017,185090,568,562
594022813,196886,571,561
594034683,208756,568,552
594046461,220534,571,548
594058183,232256,559,543
594070035,244108,566,548
594081849,255922,563,534
594093645,267718,574,537
594105478,279551,572,537
594117312,291385,567,533
594129108,303181,557,536
594140941,315014,554,547
594152774,326847,561,550
594164626,338699,571,548
594176422,350495,569,543
594188273,362346,578,558
594200069,374142,570,547
594211903,385976,573,555
594223754,397827,577,554
594235476,409549,567,555
594247235,421308,568,537
594259068,433141,570,540
594270846,444919,563,549
594282587,456660,575,544
594294457,468530,563,548
594306290,480363,567,551
594318104,492177,567,548
594329845,503918,571,534
594341586,515659,582,553
594353326,527399,581,549
594365122,539195,576,553
594376918,550991,576,556
594388714,562787,570,558
594400640,574713,569,555
594412399,586472,568,550
594424251,598324,571,554
594436121,610194,566,541
594447954,622027,572,539
594459750,633823,561,538
594471602,645675,555,542
594483380,657453,564,542
594495139,669212,565,535
594507027,681100,567,542
594518842,692915,569,546
594530657,704730,570,548
594542490,716563,565,538
594554286,728359,567,549
594566082,740155,565,550
594577896,751969,565,544
594589711,763784,565,551
594601507,775580,573,555
594613322,787395,567,542
594625173,799246,572,550
594636951,811024,571,538
594648766,822839,575,547
594660617,834690,572,546
594672339,846412,568,541
594684172,858245,573,548
594696006,870079,570,551
594707839,881912,579,549
594719635,893708,561,543
594731468,905541,568,546
594743338,917411,579,548
594755134,929207,573,557
594766912,940985,561,547
594778689,952762,573,546
594790486,964559,575,556
594802282,976355,570,559
594814170,988243,572,551
594826003,1000076,569,541
594837744,1011817,567,554
594849596,1023669,573,555
594861447,1035520,556,548
594873262,1047335,559,542
594885058,1059131,563,547
594896836,1070909,575,537
594908669,1082742,562,539
594920520,1094593,562,549
594932298,1106371,568,553
594944131,1118204,565,546
594955927,1130000,574,547
594967705,1141778,569,555
594979501,1153574,548,542
594991278,1165351,572,555
595003056,1177129,562,545
595014852,1188925,565,545
595026574,1200647,561,543
595038444,1212517,572,553
