Timestamp,Sample_Time,CH1,CH3
606968386,0,581,551
606980182,11796,572,557
606991941,23555,574,550
607003737,35351,573,544
607015533,47147,565,546
607027237,58851,571,547
607039033,70647,571,542
607050736,82350,563,544
607062532,94146,566,551
607074347,105961,556,550
607086050,117664,559,544
607097754,129368,570,539
607109550,141164,566,539
607121328,152942,573,534
607133124,164738,570,559
607144827,176441,565,559
607156605,188219,569,552
607168327,199941,571,553
607180123,211737,574,559
607191938,223552,560,541
607203734,235348,573,551
607215530,247144,574,546
607227215,258829,562,546
607238918,270532,570,542
607250622,282236,566,545
607262399,294013,563,545
607274233,305847,559,544
607286029,317643,568,538
607297788,329402,565,542
607309584,341198,567,548
607321361,352975,570,541
607333158,364772,556,541
607344861,376475,558,553
607356583,388197,570,540
607368361,399975,584,558
607380175,411789,573,558
607392027,423641,567,549
607403768,435382,563,537
607415582,447196,568,544
607427323,458937,568,539
607439137,470751,571,542
607450841,482455,572,541
607462655,494269,566,557
607474452,506066,575,555
607486266,517880,569,549
607497988,529602,572,541
607509784,541398,567,545
607521599,553213,576,537
607533414,565028,552,547
607545173,576787,575,545
607556969,588583,566,547
607568709,600323,569,544
607580450,612064,567,555
607592227,623841,573,550
607604023,635637,573,538
607615820,647434,567,557
607627616,659230,576,557
607639319,670933,564,541
607651097,682711,565,547
607662911,694525,563,549
607674708,706322,564,543
607686504,718118,558,537
607698337,729951,571,528
607710114,741728,575,536
607721855,753469,561,530
607733688,765302,562,541
607745503,777117,563,540
607757206,788820,570,534
607768984,800598,567,546
607780780,812394,566,547
607792557,824171,563,542
607804354,835968,570,550
607816168,847782,563,549
607827872,859486,563,562
607839649,871263,576,559
607851482,883096,574,540
607863297,894911,563,540
607875001,906615,573,548
607886797,918411,572,534
607898611,930225,564,543
607910352,941966,570,547
607922166,953780,576,543
607933981,965595,574,547
607945685,977299,572,560
607957444,989058,575,545
607969240,1000854,569,553
607981054,1012668,561,548
607992813,1024427,571,550
608004647,1036261,568,544
608016443,1048057,569,539
608028239,1059853,576,526
608040053,1071667,575,529
608051868,1083482,572,543
608063590,1095204,572,551
608075405,1107019,566,554
608087219,1118833,566,546
608098886,1130500,565,561
608110663,1142277,573,552
608122385,1153999,565,541
608134200,1165814,571,545
608145922,1177536,561,546
608157737,1189351,569,533
608169514,1201128,565,546
608181329,1212943,573,543
608193125,1224739,570,537
608204810,1236424,571,543
608216625,1248239,566,544
608228439,1260053,573,542
608240235,1271849,570,531
608252050,1283664,558,541
608263828,1295442,564,540
608275642,1307256,561,547
608287346,1318960,567,551
608299105,1330719,557,548
608310901,1342515,571,545
608322697,1354311,578,563
608334474,1366088,566,542
608346178,1377792,564,553
608357974,1389588,576,543
608369789,1401403,571,552
608381585,1413199,569,549
608393381,1424995,574,539
608405103,1436717,564,552
608416788,1448402,569,540
608428566,1460180,571,528
608440306,1471920,567,551
608452102,1483716,560,534
608463898,1495512,566,549
608475694,1507308,570,549
608487509,1519123,570,551
608499305,1530919,563,545
608511064,1542678,568,537
608522842,1554456,562,546
608534619,1566233,564,543
608546415,1578029,568,540
608558230,1589844,567,542
608570008,1601622,566,550
608581804,1613418,570,544
608593581,1625195,569,539
608605377,1636991,571,543
608617174,1648788,571,555
608628970,1660584,565,560
608640673,1672287,571,547
608652395,1684009,567,547
608664173,1695787,574,542
608675876,1707490,577,531
608687672,1719286,562,543
608699487,1731101,576,541
608711283,1742897,573,541
608723061,1754675,564,547
608734820,1766434,555,555
608746523,1778137,570,547
608758319,1789933,566,548
608770116,1801730,571,545
608781912,1813526,560,552
608793671,1825285,567,542
608805448,1837062,566,545
608817244,1848858,569,538
608829059,1860673,572,538
608840781,1872395,573,553
608852485,1884099,569,543
608864188,1895802,563,546
608875947,1907561,568,550
608887780,1919394,565,548
608899558,1931172,562,547
608911372,1942986,569,546
608923057,1954671,563,543
608934854,1966468,565,534
608946631,1978245,561,542
608958446,1990060,561,539
608970242,2001856,575,552
608982056,2013670,564,553
608993853,2025467,569,547
609005686,2037300,571,546
609017445,2049059,571,558
609029185,2060799,568,552
609040963,2072577,573,542
609052796,2084410,567,546
609064574,2096188,566,545
609076388,2108002,575,530
609088147,2119761,562,538
609099980,2131594,564,540
609111684,2143298,574,542
609123480,2155094,576,537
609135184,2166798,570,538
609146980,2178594,579,543
609158757,2190371,577,546
609170553,2202167,576,552
609182350,2213964,571,550
609194109,2225723,573,547
609205849,2237463,571,548
609217627,2249241,570,554
609229404,2261018,566,555
609241182,2272796,571,545
609252997,2284611,566,554
609264793,2296407,567,553
609276626,2308240,567,551
609288403,2320017,569,538
609300199,2331813,565,538
609311921,2343535,559,530
609323699,2355313,573,543
609335458,2367072,570,543
