Timestamp,Sample_Time,CH1,CH3
256298520,0,567,544
256310279,11759,576,534
256322168,23648,571,537
256334056,35536,576,537
256345852,47332,576,560
256357723,59203,567,559
256369574,71054,568,563
256381463,82943,574,549
256393241,94721,563,555
256405092,106572,579,555
256416962,118442,581,545
256428851,130331,569,545
256440647,142127,569,546
256452573,154053,568,553
256464351,165831,567,535
256476239,177719,567,538
256488109,189589,564,547
256499905,201385,569,551
256511776,213256,570,542
256523664,225144,568,552
256535497,236977,572,548
256547386,248866,562,543
256559238,260718,558,536
256571127,272607,558,540
256583052,284532,565,544
256594867,296347,570,547
256606700,308180,568,550
256618552,320032,561,552
256630329,331809,564,540
256642218,343698,570,551
256654125,355605,564,545
256665921,367401,574,535
256677828,379308,573,545
256689680,391160,576,550
256701513,402993,580,550
256713346,414826,575,543
256725217,426697,561,545
256737031,438511,572,545
256748901,450381,568,548
256760734,462214,564,557
256772605,474085,569,545
256784438,485918,568,549
256796326,497806,565,541
256808160,509640,570,545
256820067,521547,577,538
256831937,533417,574,545
256843752,545232,570,549
256855677,557157,563,546
256867548,569028,563,547
256879362,580842,564,541
256891177,592657,574,549
256903047,604527,573,538
256914973,616453,566,530
256926861,628341,565,522
256938806,640286,570,542
256950750,652230,557,540
256962639,664119,563,544
256974564,676044,569,537
256986527,688007,563,547
256998416,699896,562,547
257010341,711821,564,545
257022304,723784,569,554
257034193,735673,576,546
257046082,747562,562,549
257058007,759487,566,546
257069970,771450,566,540
257081896,783376,568,539
257093822,795302,573,530
257105655,807135,569,548
257117525,819005,571,556
257129414,830894,573,547
257141228,842708,570,546
257153080,854560,571,548
257165006,866486,569,552
257176876,878356,568,537
257188783,890263,573,533
257200635,902115,574,553
257212486,913966,576,542
257224412,925892,566,545
257236338,937818,571,541
257248245,949725,570,547
257260115,961595,565,552
257271967,973447,562,540
257283892,985372,561,558
257295707,997187,561,543
257307577,1009057,569,535
257319429,1020909,565,549
257331299,1032779,563,531
257343225,1044705,566,540
257355150,1056630,565,546
257367095,1068575,560,542
257378965,1080445,571,548
257390854,1092334,562,537
257402724,1104204,564,531
257414612,1116092,578,548
257426446,1127926,578,555
257438260,1139740,571,539
257450167,1151647,568,545
257462038,1163518,566,548
257473945,1175425,574,549
257485871,1187351,570,551
257497685,1199165,567,551
257509537,1211017,569,536
257521426,1222906,567,546
257533259,1234739,559,531
257545073,1246553,566,548
257556943,1258423,574,546
257568758,1270238,568,548
257580702,1282182,559,546
257592535,1294015,570,545
257604406,1305886,569,555
257616313,1317793,571,556
257628146,1329626,569,543
257640035,1341515,575,537
257651942,1353422,564,545
257663831,1365311,576,550
257675664,1377144,569,547
257687497,1388977,574,544
257699404,1400884,560,550
257711348,1412828,561,544
257723293,1424773,564,540
257735181,1436661,568,538
257747051,1448531,568,532
257758959,1460439,562,532
257770810,1472290,568,558
257782736,1484216,570,553
257794569,1496049,565,552
257806458,1507938,568,549
257818309,1519789,568,551
257830235,1531715,565,546
257842105,1543585,568,547
257853938,1555418,566,543
257865864,1567344,562,546
257877697,1579177,567,554
257889586,1591066,572,548
257901456,1602936,567,549
257913400,1614880,569,541
257925234,1626714,570,545
257937122,1638602,574,547
257949048,1650528,567,548
257966974,1668454,571,544
257979307,1680787,569,553
257991288,1692768,557,551
258003214,1704694,575,543
258015084,1716564,580,548
258026954,1728434,569,547
258038787,1740267,562,552
258050639,1752119,564,554
258062416,1763896,578,554
258074324,1775804,583,550
258086101,1787581,565,553
258097916,1799396,564,541
258109805,1811285,567,536
258121693,1823173,563,535
258133526,1835006,563,531
258145323,1846803,567,535
258157193,1858673,568,546
258169155,1870635,570,560
258181007,1882487,567,551
258192914,1894394,564,542
258204803,1906283,564,552
258216673,1918153,572,552
258228469,1929949,572,546
258240302,1941782,564,552
258252154,1953634,567,553
258264154,1965634,577,551
258275968,1977448,570,543
258287820,1989300,568,542
258299672,2001152,566,539
258311486,2012966,575,542
258323320,2024800,568,537
258335171,2036651,570,546
258346967,2048447,573,544
258358875,2060355,568,547
258370800,2072280,570,551
258382763,2084243,574,552
258394670,2096150,573,557
258406503,2107983,565,558
258418429,2119909,575,551
258430410,2131890,570,550
258442281,2143761,563,550
258454114,2155594,569,542
258465910,2167390,555,542
258477761,2179241,568,536
258489576,2191056,563,540
258501391,2202871,563,542
258513224,2214704,563,547
258525038,2226518,561,546
258536983,2238463,566,551
258548945,2250425,562,545
258560779,2262259,558,538
258572723,2274203,562,552
258584704,2286184,577,536
258596519,2297999,577,542
258608444,2309924,567,549
258620259,2321739,573,546
258632111,2333591,564,560
258643944,2345424,575,546
258655740,2357220,573,544
258667536,2369016,566,546
258679443,2380923,565,547
258691239,2392719,562,542
258703221,2404701,568,540
258714961,2416441,572,545
258726831,2428311,573,549
258738757,2440237,568,553
258750572,2452052,567,558
258762460,2463940,571,559
258774405,2475885,573,545
258786330,2487810,579,545
258798256,2499736,565,535
258810145,2511625,569,537
258822089,2523569,558,548
258833996,2535476,570,540
258845903,2547383,566,544
258857811,2559291,562,545
258869755,2571235,567,533
258881644,2583124,568,537
258893551,2595031,559,535
258905439,2606919,569,532
258917347,2618827,567,549
258929235,2630715,567,547
258941161,2642641,567,547
258953031,2654511,566,537
258965013,2666493,566,545
258976883,2678363,569,556
258988827,2690307,564,543
259000734,2702214,561,549
259012641,2714121,568,548
259024512,2725992,579,549
259036437,2737917,569,546
259048307,2749787,558,542
259060215,2761695,563,544
259072103,2773583,567,550
259084029,2785509,567,548
259095955,2797435,567,546
259107918,2809398,563,541
259119825,2821305,568,533
259131732,2833212,564,544
259143602,2845082,567,541
259155472,2856952,585,549
259167435,2868915,576,549
259179305,2880785,582,554
259191213,2892693,563,551
259203175,2904655,576,559
259215101,2916581,573,553
259227008,2928488,575,559
259238952,2940432,564,543
259250897,2952377,567,554
259262767,2964247,566,539
259274693,2976173,564,542
259286600,2988080,559,548
259298396,2999876,560,544
259310285,3011765,558,530
259322155,3023635,560,539
259333969,3035449,567,551
259345877,3047357,569,548
259357821,3059301,566,536
259369728,3071208,568,541
259381654,3083134,564,551
259393487,3094967,575,562
259405394,3106874,568,547
259417320,3118800,577,557
259429283,3130763,573,554
259441116,3142596,573,553
259453004,3154484,568,558
259464838,3166318,567,555
259476708,3178188,576,552
259488633,3190113,567,550
259500541,3202021,564,544
259512374,3213854,570,532
259524374,3225854,558,547
259536207,3237687,568,536
259548077,3249557,578,546
259559929,3261409,562,542
259571780,3273260,574,565
259583576,3285056,576,553
259595409,3296889,571,555
259607206,3308686,586,549
259619020,3320500,571,556
259630890,3332370,563,545
259642705,3344185,563,545
259654520,3356000,561,542
259666297,3367777,559,541
259678186,3379666,561,538
259690019,3391499,557,539
259701945,3403425,570,541
259713852,3415332,568,551
259725611,3427091,571,546
259737481,3438961,561,541
259749388,3450868,566,539
259761296,3462776,573,542
259773166,3474646,568,547
259785073,3486553,567,559
259797054,3498534,570,562
259808869,3510349,562,538
259820721,3522201,574,548
259832498,3533978,569,547
259844276,3545756,561,545
259856072,3557552,563,544
259867923,3569403,573,538
259879812,3581292,556,548
259891590,3593070,563,549
259903404,3604884,573,545
259915312,3616792,570,558
259927108,3628588,575,545
259938922,3640402,570,553
259950829,3652309,567,550
259962718,3664198,569,552
259974588,3676068,574,545
259986403,3687883,573,549
259998310,3699790,575,545
260010143,3711623,573,535
260021939,3723419,573,540
260033736,3735216,564,536
260045661,3747141,562,541
260057643,3759123,562,539
260069476,3770956,559,549
260081346,3782826,564,545
260093123,3794603,568,554
260104920,3806400,571,544
260116771,3818251,564,549
260128549,3830029,569,538
260140400,3841880,567,542
260152271,3853751,561,536
260164141,3865621,571,549
260176048,3877528,575,550
260187826,3889306,565,544
260199714,3901194,563,545
260211566,3913046,560,554
260223362,3924842,568,552
260235288,3936768,578,538
260247139,3948619,568,546
260258991,3960471,570,552
260270843,3972323,573,542
260282620,3984100,563,547
260294509,3995989,572,547
260306379,4007859,572,539
260318175,4019655,559,551
260330101,4031581,566,549
260342008,4043488,572,551
260353823,4055303,570,545
260365730,4067210,570,549
260377582,4079062,578,550
260389470,4090950,563,547
260401285,4102765,579,542
260413155,4114635,577,557
260425007,4126487,565,552
260436895,4138375,564,538
260448766,4150246,568,543
260460562,4162042,561,540
260472432,4173912,570,543
260484321,4185801,570,551
260496209,4197689,562,540
260508079,4209559,562,544
260519950,4221430,568,546
260531857,4233337,556,542
260543727,4245207,556,543
260555523,4257003,566,540
260567393,4268873,563,550
260579301,4280781,566,546
260591245,4292725,569,545
260603041,4304521,577,541
260614985,4316465,564,555
260626781,4328261,565,551
260638707,4340187,567,561
260650540,4352020,573,545
260662373,4363853,574,554
260674206,4375686,572,551
260686002,4387482,576,552
